2022.0,1.0,1.0,0.0,0.0,0.0,738522.0,772.50973,-24.261889,-14.336391,7.6201964,-1.2387261,15.277019,2.0256137
2022.0,1.0,1.0,1.0,0.0,0.0,738522.04,783.14826,-31.889846,-9.6546605,10.568196,-0.27999862,5.1062398,-3.6765999
2022.0,1.0,1.0,2.0,0.0,0.0,738522.08,769.18184,-39.489544,-17.838237,6.682703,-3.1449403,17.849173,-0.36619188
2022.0,1.0,1.0,3.0,0.0,0.0,738522.12,728.72004,-22.194287,-18.703304,1.9725498,-0.9642108,33.52777,-0.10616872
2022.0,1.0,1.0,4.0,0.0,0.0,738522.17,737.06586,-6.1368038,-5.9491297,8.2506462,2.0295391,29.970073,-0.37947709
2022.0,1.0,1.0,5.0,0.0,0.0,738522.21,756.77198,-22.464033,-4.5390214,14.053474,-0.8433104,5.566746,0.85319683
2022.0,1.0,1.0,6.0,0.0,0.0,738522.25,757.56981,-28.485772,-19.936229,8.1636104,-4.0898028,8.7765813,1.7121605
2022.0,1.0,1.0,7.0,0.0,0.0,738522.29,806.86477,-17.903114,-18.713869,5.2207147,-1.6924999,23.323439,1.1749157
2022.0,1.0,1.0,8.0,0.0,0.0,738522.33,866.10215,-27.127901,-18.513862,10.787628,-1.3715774,7.9830846,-1.501975
2022.0,1.0,1.0,9.0,0.0,0.0,738522.38,895.55105,-36.546854,-21.788497,10.013013,-2.4297542,5.9219998,1.1213022
2022.0,1.0,1.0,10.0,0.0,0.0,738522.42,890.6917,-25.02405,-16.308131,3.8922971,-0.99732345,22.94189,4.0047931
2022.0,1.0,1.0,11.0,0.0,0.0,738522.46,898.08102,-45.931102,-7.0272996,5.4654088,0.78746549,14.133308,6.4304044
2022.0,1.0,1.0,12.0,0.0,0.0,738522.5,867.89447,-40.010784,-17.106535,7.0233119,-3.0773692,11.045327,6.1152337
2022.0,1.0,1.0,13.0,0.0,0.0,738522.54,830.25799,-33.939726,-17.880576,11.446382,-2.725005,-4.9581324,4.8893548
2022.0,1.0,1.0,14.0,0.0,0.0,738522.58,810.15103,-44.771382,-9.4832016,11.328706,-1.3415236,-3.0887426,0.99894635
2022.0,1.0,1.0,15.0,0.0,0.0,738522.62,829.24343,-38.520649,-10.052471,8.1954327,-0.16160075,6.5631874,2.907978
2022.0,1.0,1.0,16.0,0.0,0.0,738522.67,834.70845,-27.324161,-8.3535281,4.4984793,0.61083731,14.373298,1.2198957
2022.0,1.0,1.0,17.0,0.0,0.0,738522.71,833.57125,-24.641601,-5.300822,1.9271698,-0.42665112,16.574662,0.71615599
2022.0,1.0,1.0,18.0,0.0,0.0,738522.75,867.14928,-20.964216,-4.3402452,4.2076655,-2.2264036,10.71039,4.6558739
2022.0,1.0,1.0,19.0,0.0,0.0,738522.79,896.53942,-19.00306,-5.7922737,6.7340562,-3.1651782,1.3969563,7.6284888
2022.0,1.0,1.0,20.0,0.0,0.0,738522.83,929.93288,-29.759966,-10.843197,5.0263899,-3.0299171,1.1524357,4.8157121
2022.0,1.0,1.0,21.0,0.0,0.0,738522.88,940.72984,-32.193348,-14.023612,2.565027,-2.4931638,4.2588537,1.279651
2022.0,1.0,1.0,22.0,0.0,0.0,738522.92,978.07829,-28.282689,-12.602135,-1.4167501,-3.4231636,11.202563,1.4387669
2022.0,1.0,1.0,23.0,0.0,0.0,738522.96,1007.7075,-22.009496,-2.8996739,4.4009188,-1.0366504,12.527494,4.1343728
2022.0,1.0,2.0,0.0,0.0,0.0,738523.0,996.04379,-26.261874,0.0085083018,4.2272691,0.18014108,12.404076,3.6143111
