2022,1,1,0,0,0,26298.0,-0.0674839451062424
2022,1,1,1,0,0,26298.041666666668,-0.0996241859986419
2022,1,1,2,0,0,26298.08333333333,-0.0608721237273595
2022,1,1,3,0,0,26298.125,0.0453516864645115
2022,1,1,4,0,0,26298.166666666668,0.1951002290885709
2022,1,1,5,0,0,26298.20833333333,0.3497640258212586
2022,1,1,6,0,0,26298.25,0.4657895129583444
2022,1,1,7,0,0,26298.291666666668,0.5058105142135958
2022,1,1,8,0,0,26298.33333333333,0.448509393157142
2022,1,1,9,0,0,26298.375,0.2948239495204566
2022,1,1,10,0,0,26298.416666666668,0.0688721711311686
2022,1,1,11,0,0,26298.45833333333,-0.1868775313274929
2022,1,1,12,0,0,26298.5,-0.4212447070297482
2022,1,1,13,0,0,26298.541666666668,-0.586482941392384
2022,1,1,14,0,0,26298.58333333333,-0.6498051162828369
2022,1,1,15,0,0,26298.625,-0.6012328589288921
2022,1,1,16,0,0,26298.666666666668,-0.4557282151983727
2022,1,1,17,0,0,26298.70833333333,-0.2491624660168516
2022,1,1,18,0,0,26298.75,-0.029294989541467
2022,1,1,19,0,0,26298.791666666668,0.1559020949934369
2022,1,1,20,0,0,26298.83333333333,0.2697362931081422
2022,1,1,21,0,0,26298.875,0.2953949309475188
2022,1,1,22,0,0,26298.916666666668,0.2395913371127774
2022,1,1,23,0,0,26298.95833333333,0.1302770117077462
2022,1,2,0,0,0,26299.0,0.008846092816763
2022,1,2,1,0,0,26299.041666666668,-0.0812712390724149
2022,1,2,2,0,0,26299.08333333333,-0.1066307964404667
2022,1,2,3,0,0,26299.125,-0.0531314531274282
2022,1,2,4,0,0,26299.166666666668,0.0698572927840066
2022,1,2,5,0,0,26299.20833333333,0.2316669889167837
2022,1,2,6,0,0,26299.25,0.3881308358388182
2022,1,2,7,0,0,26299.291666666668,0.4929219208136752
2022,1,2,8,0,0,26299.33333333333,0.5095725566322865
2022,1,2,9,0,0,26299.375,0.4212570550572739
2022,1,2,10,0,0,26299.416666666668,0.2359507874420114
2022,1,2,11,0,0,26299.45833333333,-0.0144203044675802
2022,1,2,12,0,0,26299.5,-0.2808619487240211
2022,1,2,13,0,0,26299.541666666668,-0.5087249206959062
2022,1,2,14,0,0,26299.58333333333,-0.6508466694687602
2022,1,2,15,0,0,26299.625,-0.6790034665585627
2022,1,2,16,0,0,26299.666666666668,-0.5906371968610122
2022,1,2,17,0,0,26299.70833333333,-0.4091310681507093
2022,1,2,18,0,0,26299.75,-0.1776939766038587
2022,1,2,19,0,0,26299.791666666668,0.0514335033822527
2022,1,2,20,0,0,26299.83333333333,0.2296792448218363
2022,1,2,21,0,0,26299.875,0.323667035836765
2022,1,2,22,0,0,26299.916666666668,0.3228582278168105
2022,1,2,23,0,0,26299.95833333333,0.2414819641301079
2022,1,3,0,0,0,26300.0,0.1142108222470711
2022,1,3,1,0,0,26300.041666666668,-0.0134477165292904
2022,1,3,2,0,0,26300.08333333333,-0.0976398622560449
2022,1,3,3,0,0,26300.125,-0.108225085339427
2022,1,3,4,0,0,26300.166666666668,-0.0371151505300631
2022,1,3,5,0,0,26300.20833333333,0.0993731899167938
2022,1,3,6,0,0,26300.25,0.2647124650139513
2022,1,3,7,0,0,26300.291666666668,0.4116772134326449
2022,1,3,8,0,0,26300.33333333333,0.4946329868230699
2022,1,3,9,0,0,26300.375,0.4815050169770674
2022,1,3,10,0,0,26300.416666666668,0.3625192509440736
2022,1,3,11,0,0,26300.45833333333,0.1535788984553993
2022,1,3,12,0,0,26300.5,-0.1066685014470611
2022,1,3,13,0,0,26300.541666666668,-0.3655545578449679
2022,1,3,14,0,0,26300.58333333333,-0.5688940583708944
2022,1,3,15,0,0,26300.625,-0.6741390788186163
2022,1,3,16,0,0,26300.666666666668,-0.6607347957910847
2022,1,3,17,0,0,26300.70833333333,-0.5349318404119381
2022,1,3,18,0,0,26300.75,-0.3278547746120063
2022,1,3,19,0,0,26300.791666666668,-0.0874814993918207
